station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
San Francisco,-122.465,37.807,0.0681404868339969,0.00842136878741217,0.027566151572472,NaN,0.0430616495522466,0.0262622825856874,NaN,NaN
San Juan PR,-66.117,18.46,0.0281146663713888,0.0127199631553437,0.023362935058802,0.0141564829618271,0.00892826806777776,0.00312133367834969,NaN,NaN
Sand Point,-160.502,55.337,0.219258928958327,0.175111219848083,NaN,0.0328394837962657,0.0293651714863186,0.0286339764950679,NaN,NaN
Santa Cruz,-90.312,-0.753,0.0229378530244855,0.0122119344564938,0.0251071585009475,0.00306218158187917,0.0115738444925185,NaN,NaN,NaN
Santander,-3.79,43.46,0.0848575530350021,0.0429742505420397,0.0208051897894852,0.0277903116774749,0.0198605242966544,0.0338210542330927,NaN,NaN
Seward,-149.427,60.12,0.216805719466321,0.179250767761868,NaN,0.0510626475027735,0.0446776584529953,0.033941705889731,NaN,NaN
Simons Town,18.433,-34.183,0.0270176254293452,0.0269273514481558,NaN,0.0130804202879915,0.0178505442971048,0.0122217782913822,NaN,NaN
Sitka,-135.342,57.052,0.211864507539662,0.172272537531775,0.0203172363239935,0.0399306888460217,0.026511864765778,0.02218387326228,NaN,NaN
Smogen,11.215,58.35,0.18862568171345,0.166666798150636,0.0413798634695573,NaN,0.0645935956380584,0.0688010899890409,NaN,NaN
South Beach,-124.043,44.625,0.230008740513111,0.0918250509700142,0.0305823105442362,0.0176911194612014,0.0660752140827595,0.0435238296555037,NaN,NaN
Spring Bay,147.933,-42.55,0.0597216239433733,0.0598179266660464,0.0180662021751806,0.0123879638516788,0.00973823064270404,0.0116495257685152,NaN,NaN
St Johns,-52.717,47.567,0.1865366315544,0.133235573389821,NaN,0.0135358882589396,0.0176678323063046,0.0341634683397061,NaN,NaN
St Marys,-6.317139,49.917833,0.111822141874232,0.0768418421150879,0.0218794357706797,0.0252540066858707,0.034989501648746,0.0433763167305386,NaN,NaN
Stockholm,18.083,59.317,0.109837094632683,0.0606872620254531,0.0560768081462925,NaN,0.039306480033974,NaN,NaN,0.0659798867601521
Stornoway,-6.388889,58.207722,0.180369864676772,0.16272402295981,NaN,NaN,0.0615573540938238,0.0542595117821687,NaN,NaN
Subic Bay,120.252,14.765,0.076473243943563,0.0324404002274016,0.0264088065175994,NaN,0.0124240760259828,0.0100330586984528,NaN,NaN
Suva,178.427,-18.132,0.0415437006426065,0.01855345941087,0.00715135816418811,0.00677916170204694,0.00836346655807267,0.00541263086023793,NaN,NaN
