station,lon,lat
Point_301,-166.43505859375,51.1328010559082
Point_302,-165.614227294922,56.0991325378418
Point_303,-154.021240234375,72.4031295776367
Point_304,-146.349822998047,75.5123443603516
Point_305,-135.010299682617,77.924690246582
Point_306,-120.19359588623,79.3513870239258
Point_307,-159.290557861328,-75.1144943237305
Point_308,-159.259841918945,-72.8768463134766
Point_309,-159.250869750977,-70.3505554199219
Point_310,-159.25,-67.4875564575195
Point_311,-159.25,-64.2225189208984
Point_312,-159.25,-60.5178337097168
Point_313,-159.25,-56.3349456787109
Point_314,-159.25,-51.6374168395996
Point_315,-159.25,-46.3974609375
Point_316,-159.25,-40.6013488769531
Point_317,-159.25,-34.255500793457
Point_318,-159.25,-27.392578125
Point_319,-159.25,-20.0761108398438
Point_320,-159.25,-12.4020042419434
Point_321,-159.25,-4.49538087844849
Point_322,-159.25,3.49782538414001
Point_323,-159.25,11.4235544204712
Point_324,-159.25,19.1340980529785
Point_325,-159.248733520508,26.4949989318848
Point_326,-159.223693847656,33.3743133544922
Point_327,-159.112106323242,39.6969947814941
Point_328,-158.823852539062,45.4560813903809
Point_329,-158.252334594727,50.6875915527344
Point_330,-157.271209716797,55.4459266662598
Point_331,-144.703598022461,70.5704345703125
Point_332,-137.39485168457,73.2631149291992
Point_333,-127.689125061035,75.2508697509766
Point_334,-116.370162963867,76.3641891479492
Point_335,-151.209243774414,-75.1136703491211
Point_336,-151.241073608398,-72.8769073486328
Point_337,-151.249267578125,-70.3506164550781
Point_338,-151.25,-67.4875564575195
Point_339,-151.25,-64.2225189208984
Point_340,-151.25,-60.5178337097168
Point_341,-151.25,-56.3349456787109
Point_342,-151.25,-51.6374168395996
Point_343,-151.25,-46.3974609375
Point_344,-151.25,-40.6013488769531
Point_345,-151.25,-34.255500793457
Point_346,-151.25,-27.392578125
Point_347,-151.25,-20.0761108398438
Point_348,-151.25,-12.4020042419434
Point_349,-151.25,-4.49538087844849
Point_350,-151.25,3.49782538414001
Point_351,-151.25,11.4235544204712
Point_352,-151.25,19.1340980529785
Point_353,-151.248596191406,26.4894218444824
Point_354,-151.221130371094,33.324951171875
Point_355,-151.099899291992,39.5436363220215
Point_356,-150.790100097656,45.1399269104004
Point_357,-150.183197021484,50.1625785827637
Point_358,-149.155548095703,54.6787872314453
Point_359,-147.555023193359,58.7520942687988
Point_360,-130.531158447266,70.9394683837891
Point_361,-113.864585876465,73.5328979492188
Point_362,-143.138061523438,-75.0895462036133
Point_363,-143.224594116211,-72.8676300048828
Point_364,-143.247848510742,-70.3489227294922
Point_365,-143.25,-67.4875564575195
Point_366,-143.25,-64.2225189208984
Point_367,-143.25,-60.5178337097168
Point_368,-143.25,-56.3349456787109
Point_369,-143.25,-51.6374168395996
Point_370,-143.25,-46.3974609375
Point_371,-143.25,-40.6013488769531
Point_372,-143.25,-34.255500793457
Point_373,-143.25,-27.392578125
Point_374,-143.25,-20.0761108398438
Point_375,-143.25,-12.4020042419434
Point_376,-143.25,-4.49538087844849
Point_377,-143.25,3.49782538414001
Point_378,-143.25,11.4235544204712
Point_379,-143.25,19.1340980529785
Point_380,-143.248611450195,26.4835815429688
Point_381,-143.221481323242,33.2731895446777
Point_382,-143.102874755859,39.3822860717773
Point_383,-142.803176879883,44.8058280944824
Point_384,-142.223068237305,49.605655670166
Point_385,-141.253509521484,53.8641204833984
Point_386,-139.765930175781,57.6569671630859
