lon,lat,MOM
101,-65.3928756713867,0.7522622
101,-2.49920701980591,0.1246421
101,2.24942183494568,0.4053276
101,3.49782538414001,0.2010261
101,6.98265075683594,0.7284209
101,12.4020042419434,0.6046041
101.25,-65.3928756713867,0.7542543
101.25,-2.99863004684448,0.1153217
101.25,-2.7489447593689,0.1210278
101.25,2.24942183494568,0.3856969
101.25,2.7489447593689,0.3148107
101.25,2.99863004684448,0.2658249
101.25,3.24825859069824,0.2529639
101.25,6.98265075683594,0.7024843
101.25,12.4020042419434,0.5940999
101.5,-65.4967651367188,0.7449753
101.5,-3.24825859069824,0.1079019
101.5,2.24942183494568,0.3991637
101.5,2.49920701980591,0.3818428
101.5,6.98265075683594,0.6700983
101.5,12.4020042419434,0.5854509
101.75,-65.6002502441406,0.7389756
101.75,-3.49782538414001,0.09774534
101.75,1.74972796440125,0.4928733
101.75,1.99959397315979,0.444648
101.75,2.49920701980591,0.4091498
101.75,6.73443984985352,0.7141036
101.75,12.4020042419434,0.5791873
102,-65.7033157348633,0.7348031
102,-5.49157285690308,0.09220693
102,-3.74732565879822,0.09615224
102,1.74972796440125,0.5238174
102,2.24942183494568,0.4455501
102,6.48610210418701,0.6896925
102,12.4020042419434,0.5847476
102.25,-65.7033157348633,0.7254128
102.25,-5.74037265777588,0.09168626
102.25,-5.24266910552979,0.09145556
102.25,-3.99675464630127,0.09193533
102.25,-3.74732565879822,0.1034385
102.25,1.74972796440125,0.5821514
102.25,1.99959397315979,0.5632507
102.25,6.23764181137085,0.6563458
102.25,12.1577243804932,0.5800795
102.5,-65.6002502441406,0.7220154
102.5,-65.4967651367188,0.7224226
102.5,-5.49157285690308,0.09119993
102.5,-4.24610805511475,0.09619512
102.5,1.24990081787109,0.7954705
102.5,1.49982869625092,0.7614659
102.5,1.99959397315979,0.6164992
102.5,5.98906373977661,0.6246697
102.5,11.9132204055786,0.5817266
102.75,-65.3928756713867,0.7215722
102.75,-65.2885665893555,0.7094122
102.75,-4.49538087844849,0.0936489
102.75,1.24990081787109,0.7744403
102.75,1.74972796440125,0.7328718
102.75,5.74037265777588,0.6070721
102.75,11.6684951782227,0.5773145
102.75,11.9132204055786,0.5842497
103,-65.1838531494141,0.6371307
103,-4.74456834793091,0.09382094
103,1.24990081787109,0.7493824
103,1.49982869625092,0.7381515
103,5.74037265777588,0.5532494
103,11.1784019470215,0.5584804
103,11.4235544204712,0.5661816
103.25,-65.1838531494141,0.6646168
103.25,-4.74456834793091,0.09086911
103.25,0.749978601932526,0.7950625
103.25,0.999949216842651,0.7518538
103.25,1.49982869625092,0.7338722
103.25,5.24266910552979,0.5692003
103.25,5.49157285690308,0.5473307
103.25,10.9330415725708,0.5400053
103.5,-65.3928756713867,0.7801994
103.5,-65.2885665893555,0.7174522
103.5,-4.99366569519043,0.09079872
103.5,-0.749978601932526,0.8718181
103.5,-0.499993652105331,0.8593872
103.5,0.499993652105331,0.8157459
103.5,1.24990081787109,0.7255543
103.5,2.99863004684448,0.8454365
103.5,3.24825859069824,0.7541011
103.5,3.49782538414001,0.680975
103.5,3.74732565879822,0.6279897
103.5,3.99675464630127,0.5927941
103.5,4.24610805511475,0.579257
103.5,4.49538087844849,0.5711992
103.5,4.74456834793091,0.5644672
103.5,4.99366569519043,0.5480483
103.5,10.687479019165,0.5204307
103.5,10.9330415725708,0.5236032
103.75,-65.4967651367188,0.7656492
103.75,-5.24266910552979,0.09091975
103.75,-0.749978601932526,0.8680261
103.75,-0.249999210238457,0.8034067
103.75,0.499993652105331,0.7933516
103.75,1.24990081787109,0.7016641
103.75,2.7489447593689,0.8206412
103.75,10.4417161941528,0.5205462
104,-65.6002502441406,0.7416861
104,-5.49157285690308,0.09143145
104,-0.999949216842651,0.8487545
104,0,0.7919235
104,0.249999210238457,0.7866219
104,1.24990081787109,0.6834573
104,2.24942183494568,0.762502
104,2.49920701980591,0.7238475
104,10.4417161941528,0.5345803
104.25,-66.0100784301758,0.7272919
104.25,-65.9082336425781,0.700641
104.25,-65.8059768676758,0.6926791
104.25,-65.7033157348633,0.6991982
104.25,-5.74037265777588,0.09346139
104.25,-0.999949216842651,0.8254529
104.25,-0.499993652105331,0.8109414
104.25,-0.249999210238457,0.7944574
104.25,0.999949216842651,0.6885071
104.25,1.24990081787109,0.6672632
